,Unnamed: 0,Name,Position,Club,Division,Based,Nation,Height,Weight,Age,Preferred Foot,Best Pos,Best Role,Value,Wage,CA,PA,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc
0,0,Lionel Messi,"AM (RC), ST (C)",Barcelona,Spanish First Division,Spain (First Division),ARG,170,72,32,Left,AM (R),IF,73000000,1200000,195,200,7,20,2,20,14,7,9,13,3,1,2,5,17,20,15,2,16,14,4,4,17,14,1,6,10,2,19,20,19,20,2,20,20,20,15,15,13,18,2,2,10,19,19,19,7,2,18
1,1,Cristiano Ronaldo,"AM (RL), ST (C)",Juventus,Italian Serie A,Italy (Serie A),POR,185,83,34,Either,ST (C),CF,31000000,950000,195,196,10,14,2,17,10,8,16,15,3,2,2,6,20,15,16,2,18,20,4,3,19,17,3,17,19,3,15,18,17,19,1,15,20,18,15,13,16,14,4,1,16,14,18,13,6,2,15
2,2,Kylian Mbappe,"AM (RL), ST (C)",Paris SG,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,178,73,20,Right,ST (C),AF,86000000,375000,181,196,10,13,1,17,10,2,11,14,2,1,1,2,15,13,20,3,18,15,2,2,12,10,4,8,7,3,10,18,16,17,3,18,14,16,13,10,13,18,2,1,12,14,17,16,6,4,20
3,3,Manuel Neuer,GK,FC Bayern,Bundesliga,Germany (Bundesliga),GER,192,90,33,Either,GK,SK,44000000,250000,176,193,14,12,19,12,18,3,16,10,20,14,8,15,10,13,10,15,1,13,3,3,3,13,18,15,10,14,13,6,13,3,18,3,18,16,2,10,15,20,12,17,14,14,19,15,8,14,13
4,4,Neymar,"M (L), AM (LC), ST (C)",Paris SG,Ligue 1 Conforama,France (Ligue 1 Conforama),BRA,175,68,27,Right,AM (L),IW,91000000,600000,186,190,10,16,1,20,8,1,10,13,1,4,2,2,17,16,16,1,18,14,1,2,15,14,2,6,8,2,17,20,18,16,1,20,16,15,16,16,10,17,3,1,14,14,16,18,10,4,17
5,5,Erling Haaland,ST (C),Borussia Dortmund,Bundesliga,Germany (Bundesliga),NOR,194,87,18,Left,ST (C),AF,67000000,135000,166,189,13,13,2,14,11,7,17,13,2,4,3,7,17,12,18,1,18,16,6,5,12,12,1,15,12,4,9,16,16,18,1,13,19,13,9,7,13,17,2,3,14,17,16,14,13,3,15
6,6,Kevin De Bruyne,"M (RLC), AM (C)",Man City,English Premier Division,England (Premier Division),BEL,181,70,27,Either,M (C),MEZ,88000000,230000,188,188,15,20,3,17,14,9,13,17,2,3,1,9,12,19,14,2,15,16,7,8,16,12,3,9,6,2,15,15,16,16,2,15,15,18,19,15,15,15,2,2,14,14,13,13,12,2,15
7,7,Luis SuÃ¡rez,"AM (RLC), ST (C)",A. Madrid,Spanish First Division,Spain (First Division),URU,182,86,32,Right,ST (C),DLF,55000000,245000,180,188,16,16,2,17,15,10,13,15,3,3,3,10,12,16,14,2,17,16,8,8,16,15,1,13,14,3,17,18,16,18,1,15,19,15,15,13,15,17,3,1,17,12,16,14,17,3,14
8,8,Gianluigi Buffon,GK,Juventus,Italian Serie A,Italy (Serie A),ITA,192,92,41,Right Only,GK,SK,3100000,38000,156,187,12,7,13,7,17,2,13,7,18,15,16,19,4,10,6,16,5,11,2,1,3,20,12,15,1,14,4,12,9,3,16,1,20,17,1,1,16,18,20,20,17,13,17,7,5,14,6
9,9,Gareth Bale,"M (L), AM (RLC), ST (C)",Tottenham,English Premier Division,England (Premier Division),WAL,185,82,29,Left,AM (L),W,75000000,525000,173,186,10,13,1,16,10,9,17,17,3,1,3,7,13,14,17,1,18,12,6,15,19,9,2,15,18,2,17,17,14,17,2,16,12,12,16,14,11,12,3,2,11,13,14,13,11,2,14
10,10,Antoine Griezmann,"AM (RLC), ST (C)",Barcelona,Spanish First Division,Spain (First Division),FRA,175,71,28,Left,ST (C),AF,75000000,550000,171,185,14,16,1,17,12,11,10,13,3,3,2,10,13,15,14,3,18,15,5,4,14,14,1,9,15,4,15,17,17,17,14,16,17,14,16,14,12,13,2,3,13,15,15,15,13,2,15
11,11,Eden Hazard,AM (RLC),R. Madrid,Spanish First Division,Spain (First Division),BEL,173,76,28,Either,AM (L),IW,75000000,525000,175,185,12,16,3,18,9,4,11,16,3,2,2,7,19,16,15,4,15,12,3,5,11,6,1,8,7,3,13,18,17,15,1,20,15,17,13,12,13,16,2,2,17,17,14,17,8,3,16
12,12,Harry Kane,"AM (C), ST (C)",Tottenham,English Premier Division,England (Premier Division),ENG,188,86,25,Either,ST (C),DLF,77000000,200000,183,185,18,18,3,16,18,11,14,17,2,3,3,11,20,18,12,2,16,16,10,6,16,15,2,13,15,3,12,12,14,19,1,13,19,16,16,9,15,18,2,1,16,13,16,12,11,2,13
13,13,Zlatan Ibrahimovic,ST (C),Milan,Italian Serie A,Italy (Serie A),SWE,195,95,37,Either,ST (C),DLF,5250000,180000,145,185,7,16,3,18,10,6,18,10,3,2,1,4,18,15,10,3,14,15,6,8,16,17,1,18,16,3,15,19,18,16,3,11,17,14,12,6,15,15,3,2,15,19,14,12,16,1,6
14,14,Mohamed Salah,"AM (RL), ST (C)",Liverpool,English Premier Division,England (Premier Division),EGY,175,72,27,Left,AM (R),IF,79000000,200000,179,184,14,16,1,16,14,7,14,14,2,3,4,7,14,14,18,3,18,16,8,4,13,10,3,7,10,1,13,15,15,18,1,16,16,14,14,14,15,15,1,2,11,17,16,16,10,3,18
15,15,Robert Lewandowski,ST (C),FC Bayern,Bundesliga,Germany (Bundesliga),POL,184,78,30,Right,ST (C),PF,80000000,325000,184,184,18,13,2,16,16,7,16,19,3,1,2,8,19,13,13,1,17,19,6,5,12,12,1,14,16,3,14,13,18,19,1,13,14,18,10,7,15,17,3,2,18,20,15,13,18,1,14
